Move,TimeUsed,TotalTime,Eval
431,7.69,"(285.6, 115.5)",[]
432,7.06,"(316.0, 115.5)",['g2g4']
433,7.06,"(316.0, 115.5)",[]
434,6.91,"(316.0, 117.1)",['g7f8']
435,6.91,"(316.0, 117.1)",[]
436,6.91,"(316.0, 117.1)",[]
437,6.91,"(316.0, 117.1)",[]
438,6.91,"(316.0, 117.1)",[]
439,6.91,"(316.0, 117.1)",[]
440,6.91,"(316.0, 117.1)",[]
441,6.91,"(316.0, 117.1)",[]
442,6.91,"(316.0, 117.1)",[]
443,6.91,"(316.0, 117.1)",[]
444,6.91,"(316.0, 117.1)",[]
445,6.91,"(316.0, 117.1)",[]
446,6.91,"(316.0, 117.1)",[]
447,6.91,"(316.0, 117.1)",[]
448,6.34,"(330.4, 117.1)",['d5c4']
449,6.34,"(330.4, 117.1)",[]
450,6.34,"(330.4, 117.1)",[]
451,6.34,"(330.4, 117.1)",[]
452,6.34,"(330.4, 117.1)",[]
453,6.34,"(330.4, 117.1)",[]
454,6.34,"(330.4, 117.1)",[]
455,6.34,"(330.4, 117.1)",[]
456,6.89,"(330.4, 125.2)",['h7h6']
457,6.89,"(330.4, 125.2)",[]
458,6.89,"(330.4, 125.2)",[]
459,6.89,"(330.4, 125.2)",[]
460,6.89,"(330.4, 125.2)",[]
461,6.89,"(330.4, 125.2)",[]
462,6.89,"(330.4, 125.2)",[]
463,7.02,"(337.4, 125.2)",['h2h4']
464,7.02,"(337.4, 125.2)",[]
465,8.06,"(337.4, 127.6)",['g5h4']
466,8.07,"(338.1, 127.6)",['f3h4']
467,8.07,"(338.1, 127.6)",[]
468,8.07,"(338.1, 127.6)",[]
469,8.07,"(338.1, 127.6)",[]
470,8.07,"(338.1, 127.6)",[]
471,8.07,"(338.1, 127.6)",[]
472,8.07,"(338.1, 127.6)",[]
473,8.07,"(338.1, 127.6)",[]
474,8.07,"(338.1, 127.6)",[]
475,8.07,"(338.1, 127.6)",[]
476,8.07,"(338.1, 127.6)",[]
477,7.25,"(338.1, 138.0)",['f8c5']
478,7.25,"(338.1, 138.0)",[]
479,7.25,"(338.1, 138.0)",[]
480,7.25,"(338.1, 138.0)",[]
481,7.25,"(338.1, 138.0)",[]
482,7.25,"(338.1, 138.0)",[]
483,7.25,"(338.1, 138.0)",[]
484,7.25,"(338.1, 138.0)",[]
485,7.25,"(338.1, 138.0)",[]
486,7.25,"(338.1, 138.0)",[]
487,7.25,"(338.1, 138.0)",[]
488,7.25,"(338.1, 138.0)",[]
489,7.25,"(338.1, 138.0)",[]
490,7.25,"(338.1, 138.0)",[]
491,7.25,"(338.1, 138.0)",[]
492,7.25,"(338.1, 138.0)",[]
493,7.25,"(338.1, 138.0)",[]
494,7.25,"(338.1, 138.0)",[]
