Time,Eval,TimeUsed,Moves,Board
102,0.4,"(52.0, 47.0)",[],rnbq1rk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R b KQ - 1 9
103,10.39,"(52.0, 50.6)",['d8e8'],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
104,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
105,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
106,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
107,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
108,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
109,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
110,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
111,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
112,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
113,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
114,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
115,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
116,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
117,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
118,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
119,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
120,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
121,10.39,"(52.0, 50.6)",[],rnb1qrk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQ - 2 10
