MoveS,MovePGN,Player,TimeUsed,Time,Evaluation,HRDelta,TPM,Board,Game,DeltaPos,maxi,mini
g3,['g2g3'],w,403.3,790,-12.36,-7.0,5.100000000000023,6k1/8/8/1b5p/6p1/P5P1/8/2K5 b - - 0 35,Game0814-2,3.3200000000000003,0,-4
h4,['h5h4'],b,392.6,796,-12.55,6.0,6.0,6k1/8/8/1b6/6pp/P5P1/8/2K5 w - - 0 36,Game0814-2,0.19000000000000128,0,-10
gxh4,['g3h4'],w,406.3,799,-13.14,-8.0,3.0,6k1/8/8/1b6/6pP/P7/8/2K5 b - - 0 36,Game0814-2,0.5899999999999999,4,0
g3,['g4g3'],b,395.3,802,-13.62,15.0,2.6999999999999886,6k1/8/8/1b6/7P/P5p1/8/2K5 w - - 0 37,Game0814-2,0.47999999999999865,2,-1
Kd2,['c1d2'],w,413.8,810,-13.62,-7.0,7.5,6k1/8/8/1b6/7P/P5p1/3K4/8 b - - 1 37,Game0814-2,0.0,0,-4
g2,['g3g2'],b,398.6,813,-13.78,13.0,3.3000000000000114,6k1/8/8/1b6/7P/P7/3K2p1/8 w - - 0 38,Game0814-2,0.16000000000000014,13,0
Ke3,['d2e3'],w,424.0,823,-15.39,-2.0,10.199999999999989,6k1/8/8/1b6/7P/P3K3/6p1/8 b - - 1 38,Game0814-2,1.6100000000000012,2,0
g1=Q+,['g2g1q'],b,400.9,825,-14.51,0.0,2.2999999999999545,6k1/8/8/1b6/7P/P3K3/8/6q1 w - - 0 39,Game0814-2,0.8800000000000008,1,-5
Kf3,['e3f3'],w,432.8,834,-15.33,-5.0,8.800000000000011,6k1/8/8/1b6/7P/P4K2/8/6q1 b - - 1 39,Game0814-2,0.8200000000000003,1,0
Qh1+,['g1h1'],b,403.4,837,-15.94,1.0,2.5,6k1/8/8/1b6/7P/P4K2/8/7q w - - 2 40,Game0814-2,0.6099999999999994,6,0
Kg3,['f3g3'],w,434.6,838,-16.23,-5.0,1.8000000000000114,6k1/8/8/1b6/7P/P5K1/8/7q b - - 3 40,Game0814-2,0.2900000000000009,2,0
Qa1,['h1a1'],b,409.6,845,-15.59,-4.0,6.2000000000000455,6k1/8/8/1b6/7P/P5K1/8/q7 w - - 4 41,Game0814-2,0.6400000000000006,11,0
h5,['h4h5'],w,438.6,849,#-19,-8.0,4.0,6k1/8/8/1b5P/8/P5K1/8/q7 b - - 0 41,Game0814-2,4.41,1,0
Qxa3+,['a1a3'],b,411.0,850,#-15,-14.0,1.3999999999999773,6k1/8/8/1b5P/8/q5K1/8/8 w - - 0 42,Game0814-2,0,1,-10
Kg4,['g3g4'],w,440.4,852,#-5,-8.0,1.7999999999999545,6k1/8/8/1b5P/6K1/q7/8/8 b - - 1 42,Game0814-2,0,2,0
Kh7,['g8h7'],b,413.3,854,#-10,-12.0,2.3000000000000114,8/7k/8/1b5P/6K1/q7/8/8 w - - 2 43,Game0814-2,0,0,-8
Kg5,['g4g5'],w,442.2,856,#-3,-9.0,1.8000000000000114,8/7k/8/1b4KP/8/q7/8/8 b - - 3 43,Game0814-2,0,2,0
Qc5+,['a3c5'],b,418.0,861,#-6,-9.0,4.699999999999989,8/7k/8/1bq3KP/8/8/8/8 w - - 4 44,Game0814-2,0,0,-4
Kh4,['g5h4'],w,446.2,865,#-3,-11.0,4.0,8/7k/8/1bq4P/7K/8/8/8 b - - 5 44,Game0814-2,0,0,0
Be2,['b5e2'],b,422.1,869,#-7,nan,4.100000000000023,8/7k/8/2q4P/7K/8/4b3/8 w - - 6 45,Game0814-2,0,-5,5
e4,['e2e4'],w,0.0,0,0.38,-2.0,0.0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Game0816-6,0.38,0,-4
e5,['e7e5'],b,0.1,1,0.55,0.0,0.1,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Game0816-6,0.17000000000000004,0,-2
Nc3,['b1c3'],w,11.1,12,0.16,3.0,11.1,rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,Game0816-6,0.39,0,-6
Nf6,['g8f6'],b,5.4,17,0.41,8.0,5.300000000000001,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,Game0816-6,0.24999999999999997,7,0
