Move,Board,Player,TR,T,HRDelta,TPR,Board
Rd1,['c1d1'],w,564.2,981,2.73,22.0,20,2r5/p3kppp/1r2p3/2bP4/P7/5QPP/5P2/3R2K1 b - - 8 30,Game0529-1
Rb2,['b6b2'],b,431.3,996,5.7,23.0,21,2r5/p3kppp/4p3/2bP4/P7/5QPP/1r3P2/3R2K1 w - - 9 31,Game0529-1
dxe6,['d5e6'],w,573.2,1005,5.57,24.0,24,2r5/p3kppp/4P3/2b5/P7/5QPP/1r3P2/3R2K1 b - - 0 31,Game0529-1
Rxf2,['b2f2'],b,442.1,1016,7.24,23.0,20,2r5/p3kppp/4P3/2b5/P7/5QPP/5r2/3R2K1 w - - 0 32,Game0529-1
Qb7+,['f3b7'],w,578.1,1021,7.53,24.0,16,2r5/pQ2kppp/4P3/2b5/P7/6PP/5r2/3R2K1 b - - 1 32,Game0529-1
Kxe6,['e7e6'],b,452.1,1031,10.0,32.0,15,2r5/pQ3ppp/4k3/2b5/P7/6PP/5r2/3R2K1 w - - 0 33,Game0529-1
Re1+,['d1e1'],w,582.6,1035,2.42,35.0,14,2r5/pQ3ppp/4k3/2b5/P7/6PP/5r2/4R1K1 b - - 1 33,Game0529-1
Kf6,['e6f6'],b,460.9,1044,7.46,33.0,13,2r5/pQ3ppp/5k2/2b5/P7/6PP/5r2/4R1K1 w - - 2 34,Game0529-1
Qa6+,['b7a6'],w,586.5,1048,0.43,31.0,13,2r5/p4ppp/Q4k2/2b5/P7/6PP/5r2/4R1K1 b - - 3 34,Game0529-1
Kf5,['f6f5'],b,466.5,1053,10.11,28.0,9,2r5/p4ppp/Q7/2b2k2/P7/6PP/5r2/4R1K1 w - - 4 35,Game0529-1
Kh1,['g1h1'],w,588.1,1055,5.03,29.0,7,2r5/p4ppp/Q7/2b2k2/P7/6PP/5r2/4R2K b - - 5 35,Game0529-1
Bb6,['c5b6'],b,476.9,1065,7.79,33.0,12,2r5/p4ppp/Qb6/5k2/P7/6PP/5r2/4R2K w - - 6 36,Game0529-1
Qxc8+,['a6c8'],w,589.2,1067,7.75,33.0,12,2Q5/p4ppp/1b6/5k2/P7/6PP/5r2/4R2K b - - 0 36,Game0529-1
Kg6,['f5g6'],b,479.2,1069,7.72,34.0,4,2Q5/p4ppp/1b4k1/8/P7/6PP/5r2/4R2K w - - 1 37,Game0529-1
Qc6+,['c8c6'],w,593.1,1073,8.23,33.0,6,8/p4ppp/1bQ3k1/8/P7/6PP/5r2/4R2K b - - 2 37,Game0529-1
f6,['f7f6'],b,481.4,1075,8.17,33.0,6,8/p5pp/1bQ2pk1/8/P7/6PP/5r2/4R2K w - - 0 38,Game0529-1
a5,['a4a5'],w,594.2,1076,8.24,32.0,3,8/p5pp/1bQ2pk1/P7/8/6PP/5r2/4R2K b - - 0 38,Game0529-1
Bxa5,['b6a5'],b,483.8,1078,8.41,30.0,3,8/p5pp/2Q2pk1/b7/8/6PP/5r2/4R2K w - - 0 39,Game0529-1
Qe4+,['c6e4'],w,598.3,1083,6.94,nan,7,8/p5pp/5pk1/b7/4Q3/6PP/5r2/4R2K b - - 1 39,Game0529-1
Kf7,"['g6f7', 'e4e7']",b,490.0,1089,7.77,nan,11,8/p3Qkpp/5p2/b7/8/6PP/5r2/4R2K b - - 3 40,Game0529-1
Qe7+,"['g6f7', 'e4e7']",w,598.8,1089,7.77,nan,6,8/p3Qkpp/5p2/b7/8/6PP/5r2/4R2K b - - 3 40,Game0529-1
Kg6,['f7g6'],b,490.8,1090,8.27,nan,1,8/p3Q1pp/5pk1/b7/8/6PP/5r2/4R2K w - - 4 41,Game0529-1
