Time,Eval,TimeUsed,Moves,Board
55,-0.39,"(30.9, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPPN1PP1/R3K2R b KQkq - 3 9
56,-0.39,"(30.9, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPPN1PP1/R3K2R b KQkq - 3 9
57,-0.39,"(30.9, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPPN1PP1/R3K2R b KQkq - 3 9
58,0.38,"(30.9, 27.1)",['e7f5'],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
59,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
60,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
61,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
62,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
63,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
64,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
65,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
66,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
67,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
68,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
69,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
70,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
71,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
72,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
73,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
74,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
75,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
76,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
77,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
78,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
79,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
80,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
81,0.38,"(30.9, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1B1P/3Q1N2/PPPN1PP1/R3K2R w KQkq - 4 10
82,0.0,"(54.8, 27.1)",['g2g4'],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1BPP/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 10
83,0.0,"(54.8, 27.1)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPn2/3P1BPP/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 10
