Move,TimeUsed,TotalTime,Eval
328,-5.04,"(209.0, 105.3)",[]
329,-5.04,"(209.0, 105.3)",[]
330,-5.04,"(209.0, 105.3)",[]
331,-4.69,"(225.0, 105.3)",['b5b7']
332,-4.69,"(225.0, 105.3)",[]
333,-4.69,"(225.0, 105.3)",[]
334,-4.84,"(225.0, 109.0)",['e7f6']
335,-4.84,"(225.0, 109.0)",[]
336,-4.84,"(225.0, 109.0)",[]
337,-4.84,"(225.0, 109.0)",[]
338,-4.84,"(225.0, 109.0)",[]
339,-4.84,"(225.0, 109.0)",[]
340,-4.84,"(225.0, 109.0)",[]
341,-4.84,"(225.0, 109.0)",[]
342,-4.84,"(225.0, 109.0)",[]
343,-4.84,"(225.0, 109.0)",[]
344,-4.84,"(225.0, 109.0)",[]
345,-4.84,"(225.0, 109.0)",[]
346,-4.84,"(225.0, 109.0)",[]
347,-4.84,"(225.0, 109.0)",[]
348,-4.84,"(225.0, 109.0)",[]
349,-4.84,"(225.0, 109.0)",[]
350,-4.84,"(225.0, 109.0)",[]
351,-4.84,"(225.0, 109.0)",[]
352,-4.84,"(225.0, 109.0)",[]
353,-4.84,"(225.0, 109.0)",[]
354,-4.84,"(225.0, 109.0)",[]
355,-4.84,"(225.0, 109.0)",[]
356,-4.84,"(225.0, 109.0)",[]
357,-4.84,"(225.0, 109.0)",[]
358,-4.84,"(225.0, 109.0)",[]
359,-5.19,"(249.2, 109.0)",['d2e3']
360,-5.19,"(249.2, 109.0)",[]
361,-5.19,"(249.2, 109.0)",[]
362,-5.19,"(249.2, 109.0)",[]
363,-5.19,"(249.2, 109.0)",[]
364,-5.19,"(249.2, 109.0)",[]
365,-5.19,"(249.2, 109.0)",[]
366,-5.19,"(249.2, 109.0)",[]
367,-5.19,"(249.2, 109.0)",[]
368,-5.19,"(249.2, 109.0)",[]
369,-5.19,"(249.2, 109.0)",[]
370,-5.19,"(249.2, 109.0)",[]
371,-5.19,"(249.2, 109.0)",[]
372,-5.19,"(249.2, 109.0)",[]
373,-5.19,"(249.2, 109.0)",[]
374,-5.19,"(249.2, 109.0)",[]
375,-5.19,"(249.2, 109.0)",[]
376,-5.19,"(249.2, 109.0)",[]
377,-5.19,"(249.2, 109.0)",[]
378,-5.19,"(249.2, 109.0)",[]
379,-5.19,"(249.2, 109.0)",[]
380,-5.19,"(249.2, 109.0)",[]
381,-5.19,"(249.2, 109.0)",[]
382,-5.19,"(249.2, 109.0)",[]
383,-5.19,"(249.2, 109.0)",[]
384,-5.19,"(249.2, 109.0)",[]
385,-5.19,"(249.2, 109.0)",[]
386,-5.19,"(249.2, 109.0)",[]
387,-5.19,"(249.2, 109.0)",[]
388,-5.19,"(249.2, 109.0)",[]
389,-5.19,"(249.2, 109.0)",[]
390,-5.19,"(249.2, 109.0)",[]
391,-5.19,"(249.2, 109.0)",[]
392,-5.19,"(249.2, 109.0)",[]
393,-5.19,"(249.2, 109.0)",[]
394,-5.19,"(249.2, 109.0)",[]
395,-5.19,"(249.2, 109.0)",[]
396,-5.19,"(249.2, 109.0)",[]
397,-5.19,"(249.2, 109.0)",[]
398,-5.19,"(249.2, 109.0)",[]
399,-5.19,"(249.2, 109.0)",[]
400,-5.19,"(249.2, 109.0)",[]
401,-5.19,"(249.2, 109.0)",[]
402,-5.19,"(249.2, 109.0)",[]
403,-5.19,"(249.2, 109.0)",[]
404,-5.19,"(249.2, 109.0)",[]
405,-5.19,"(249.2, 109.0)",[]
406,-5.19,"(249.2, 109.0)",[]
407,-5.19,"(249.2, 109.0)",[]
408,-5.19,"(249.2, 109.0)",[]
409,-5.19,"(249.2, 109.0)",[]
