Time,Eval,TimeUsed,Moves,Board
88,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
89,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
90,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
91,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
92,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
93,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
94,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
95,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
96,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
97,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
98,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
99,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
100,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
101,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
102,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
103,-0.47,"(68.0, 34.1)",['c3d5'],r3kb1r/pppbqppp/2n2n2/1B1Np3/4P3/4BN2/PPP2PPP/R2QK2R b KQkq - 3 8
104,-0.47,"(68.0, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B1Np3/4P3/4BN2/PPP2PPP/R2QK2R b KQkq - 3 8
105,-0.47,"(68.0, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B1Np3/4P3/4BN2/PPP2PPP/R2QK2R b KQkq - 3 8
106,-0.47,"(68.0, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B1Np3/4P3/4BN2/PPP2PPP/R2QK2R b KQkq - 3 8
107,-0.47,"(68.0, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B1Np3/4P3/4BN2/PPP2PPP/R2QK2R b KQkq - 3 8
108,-0.47,"(68.0, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B1Np3/4P3/4BN2/PPP2PPP/R2QK2R b KQkq - 3 8
109,-0.47,"(68.0, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B1Np3/4P3/4BN2/PPP2PPP/R2QK2R b KQkq - 3 8
110,-0.47,"(68.0, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B1Np3/4P3/4BN2/PPP2PPP/R2QK2R b KQkq - 3 8
111,-0.47,"(68.0, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B1Np3/4P3/4BN2/PPP2PPP/R2QK2R b KQkq - 3 8
112,-0.47,"(68.0, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B1Np3/4P3/4BN2/PPP2PPP/R2QK2R b KQkq - 3 8
113,9.47,"(68.0, 45.0)",['e7b4'],r3kb1r/pppb1ppp/2n2n2/1B1Np3/1q2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 4 9
114,9.47,"(68.0, 45.0)",[],r3kb1r/pppb1ppp/2n2n2/1B1Np3/1q2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 4 9
115,9.47,"(68.0, 45.0)",[],r3kb1r/pppb1ppp/2n2n2/1B1Np3/1q2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 4 9
116,9.47,"(68.0, 45.0)",[],r3kb1r/pppb1ppp/2n2n2/1B1Np3/1q2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 4 9
117,9.47,"(68.0, 45.0)",[],r3kb1r/pppb1ppp/2n2n2/1B1Np3/1q2P3/4BN2/PPP2PPP/R2QK2R w KQkq - 4 9
