Time,Eval,TimeUsed,Moves,Board
155,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
156,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
157,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
158,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
159,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
160,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
161,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
162,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
163,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
164,1.02,"(103.7, 59.8)",['c3d5'],r1bn1rk1/pp3ppp/5b2/2pNp3/4P3/5P2/PPP1N1PP/2KR1B1R b - - 1 11
165,1.02,"(103.7, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2pNp3/4P3/5P2/PPP1N1PP/2KR1B1R b - - 1 11
166,1.02,"(103.7, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2pNp3/4P3/5P2/PPP1N1PP/2KR1B1R b - - 1 11
167,1.02,"(103.7, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2pNp3/4P3/5P2/PPP1N1PP/2KR1B1R b - - 1 11
168,1.02,"(103.7, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2pNp3/4P3/5P2/PPP1N1PP/2KR1B1R b - - 1 11
169,1.02,"(103.7, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2pNp3/4P3/5P2/PPP1N1PP/2KR1B1R b - - 1 11
170,1.02,"(103.7, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2pNp3/4P3/5P2/PPP1N1PP/2KR1B1R b - - 1 11
171,1.02,"(103.7, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2pNp3/4P3/5P2/PPP1N1PP/2KR1B1R b - - 1 11
