HR,Delta,Time
80,4,489
80,4,490
81,5,491
81,5,492
82,6,493
82,6,494
82,6,495
82,6,496
83,7,497
84,8,498
85,9,499
85,9,500
85,9,501
81,5,502
80,4,503
79,3,504
79,3,505
79,3,506
79,3,507
79,3,508
78,2,509
77,1,510
76,0,511
75,-1,512
74,-2,513
75,-1,514
75,-1,515
75,-1,516
75,-1,517
75,-1,518
75,-1,519
75,-1,520
75,-1,521
76,0,522
76,0,523
76,0,524
77,1,525
77,1,526
78,2,527
79,3,528
79,3,529
79,3,530
80,4,531
80,4,532
81,5,533
82,6,534
84,8,535
86,10,536
88,12,537
88,12,538
88,12,539
86,10,540
86,10,541
86,10,542
87,11,543
87,11,544
87,11,545
86,10,546
84,8,547
81,5,548
80,4,549
79,3,550
78,2,551
78,2,552
79,3,553
80,4,554
80,4,555
80,4,556
79,3,557
77,1,558
77,1,559
77,1,560
77,1,561
77,1,562
77,1,563
77,1,564
78,2,565
78,2,566
79,3,567
79,3,568
79,3,569
78,2,570
77,1,571
77,1,572
77,1,573
77,1,574
78,2,575
79,3,576
80,4,577
79,3,578
78,2,579
78,2,580
76,0,581
76,0,582
76,0,583
76,0,584
79,3,585
80,4,586
81,5,587
80,4,588
80,4,589
78,2,590
77,1,591
77,1,592
77,1,593
77,1,594
79,3,595
80,4,596
83,7,597
86,10,598
87,11,599
87,11,600
86,10,601
84,8,602
84,8,603
84,8,604
86,10,605
87,11,606
89,13,607
90,14,608
91,15,609
92,16,610
93,17,611
94,18,612
94,18,613
94,18,614
94,18,615
90,14,616
88,12,617
87,11,618
86,10,619
85,9,620
85,9,621
83,7,622
81,5,623
80,4,624
78,2,625
77,1,626
77,1,627
77,1,628
78,2,629
79,3,630
80,4,631
81,5,632
81,5,633
81,5,634
80,4,635
79,3,636
77,1,637
77,1,638
77,1,639
78,2,640
78,2,641
78,2,642
78,2,643
77,1,644
77,1,645
76,0,646
76,0,647
76,0,648
76,0,649
77,1,650
77,1,651
78,2,652
78,2,653
80,4,654
81,5,655
83,7,656
84,8,657
84,8,658
83,7,659
83,7,660
85,9,661
86,10,662
88,12,663
88,12,664
87,11,665
87,11,666
86,10,667
86,10,668
86,10,669
86,10,670
86,10,671
87,11,672
87,11,673
87,11,674
86,10,675
85,9,676
84,8,677
85,9,678
86,10,679
88,12,680
89,13,681
88,12,682
89,13,683
90,14,684
90,14,685
90,14,686
90,14,687
86,10,688
85,9,689
85,9,690
86,10,691
88,12,692
88,12,693
88,12,694
88,12,695
88,12,696
84,8,697
82,6,698
80,4,699
78,2,700
78,2,701
78,2,702
78,2,703
77,1,704
76,0,705
75,-1,706
75,-1,707
74,-2,708
75,-1,709
75,-1,710
76,0,711
76,0,712
77,1,713
77,1,714
77,1,715
77,1,716
77,1,717
77,1,718
77,1,719
78,2,720
78,2,721
78,2,722
79,3,723
78,2,724
78,2,725
78,2,726
77,1,727
78,2,728
78,2,729
78,2,730
79,3,731
79,3,732
79,3,733
79,3,734
79,3,735
79,3,736
79,3,737
78,2,738
78,2,739
78,2,740
78,2,741
79,3,742
80,4,743
80,4,744
79,3,745
79,3,746
78,2,747
77,1,748
78,2,749
78,2,750
77,1,751
77,1,752
77,1,753
76,0,754
76,0,755
76,0,756
76,0,757
77,1,758
77,1,759
78,2,760
79,3,761
79,3,762
79,3,763
80,4,764
80,4,765
80,4,766
80,4,767
80,4,768
80,4,769
81,5,770
82,6,771
81,5,772
82,6,773
81,5,774
81,5,775
80,4,776
80,4,777
81,5,778
81,5,779
82,6,780
82,6,781
82,6,782
80,4,783
80,4,784
79,3,785
79,3,786
79,3,787
79,3,788
80,4,789
79,3,790
79,3,791
79,3,792
77,1,793
78,2,794
78,2,795
78,2,796
78,2,797
79,3,798
79,3,799
79,3,800
78,2,801
77,1,802
75,-1,803
75,-1,804
75,-1,805
75,-1,806
76,0,807
76,0,808
76,0,809
75,-1,810
75,-1,811
74,-2,812
74,-2,813
74,-2,814
75,-1,815
76,0,816
76,0,817
77,1,818
77,1,819
76,0,820
77,1,821
77,1,822
78,2,823
79,3,824
79,3,825
79,3,826
79,3,827
78,2,828
78,2,829
78,2,830
78,2,831
78,2,832
79,3,833
79,3,834
79,3,835
79,3,836
79,3,837
79,3,838
79,3,839
82,6,840
84,8,841
86,10,842
88,12,843
89,13,844
91,15,845
92,16,846
93,17,847
95,19,848
97,21,849
97,21,850
97,21,851
95,19,852
94,18,853
94,18,854
91,15,855
88,12,856
85,9,857
83,7,858
82,6,859
80,4,860
78,2,861
78,2,862
77,1,863
76,0,864
76,0,865
76,0,866
75,-1,867
75,-1,868
75,-1,869
75,-1,870
75,-1,871
77,1,872
78,2,873
78,2,874
79,3,875
80,4,876
81,5,877
80,4,878
80,4,879
80,4,880
79,3,881
79,3,882
81,5,883
83,7,884
85,9,885
85,9,886
85,9,887
84,8,888
82,6,889
80,4,890
79,3,891
79,3,892
79,3,893
79,3,894
79,3,895
80,4,896
79,3,897
79,3,898
78,2,899
78,2,900
79,3,901
81,5,902
82,6,903
83,7,904
83,7,905
83,7,906
83,7,907
81,5,908
80,4,909
78,2,910
78,2,911
79,3,912
79,3,913
79,3,914
79,3,915
80,4,916
79,3,917
80,4,918
81,5,919
83,7,920
83,7,921
86,10,922
87,11,923
87,11,924
85,9,925
85,9,926
84,8,927
85,9,928
85,9,929
87,11,930
87,11,931
87,11,932
87,11,933
86,10,934
83,7,935
81,5,936
81,5,937
81,5,938
82,6,939
84,8,940
86,10,941
86,10,942
85,9,943
84,8,944
83,7,945
82,6,946
82,6,947
82,6,948
82,6,949
83,7,950
83,7,951
82,6,952
81,5,953
79,3,954
79,3,955
79,3,956
79,3,957
79,3,958
80,4,959
80,4,960
81,5,961
81,5,962
80,4,963
80,4,964
80,4,965
80,4,966
80,4,967
80,4,968
80,4,969
80,4,970
80,4,971
80,4,972
81,5,973
81,5,974
82,6,975
82,6,976
82,6,977
82,6,978
82,6,979
83,7,980
82,6,981
83,7,982
84,8,983
87,11,984
88,12,985
88,12,986
88,12,987
89,13,988
89,13,989
90,14,990
90,14,991
90,14,992
89,13,993
89,13,994
89,13,995
87,11,996
86,10,997
85,9,998
85,9,999
87,11,1000
87,11,1001
88,12,1002
87,11,1003
87,11,1004
86,10,1005
85,9,1006
84,8,1007
84,8,1008
84,8,1009
84,8,1010
85,9,1011
85,9,1012
85,9,1013
85,9,1014
83,7,1015
82,6,1016
81,5,1017
81,5,1018
81,5,1019
83,7,1020
83,7,1021
83,7,1022
83,7,1023
82,6,1024
81,5,1025
81,5,1026
81,5,1027
81,5,1028
82,6,1029
83,7,1030
83,7,1031
83,7,1032
83,7,1033
82,6,1034
82,6,1035
82,6,1036
83,7,1037
84,8,1038
84,8,1039
83,7,1040
83,7,1041
82,6,1042
82,6,1043
83,7,1044
83,7,1045
84,8,1046
84,8,1047
84,8,1048
83,7,1049
83,7,1050
83,7,1051
83,7,1052
83,7,1053
83,7,1054
82,6,1055
82,6,1056
80,4,1057
79,3,1058
78,2,1059
78,2,1060
79,3,1061
80,4,1062
80,4,1063
81,5,1064
81,5,1065
80,4,1066
80,4,1067
80,4,1068
81,5,1069
83,7,1070
83,7,1071
84,8,1072
84,8,1073
84,8,1074
83,7,1075
84,8,1076
84,8,1077
85,9,1078
85,9,1079
85,9,1080
84,8,1081
83,7,1082
82,6,1083
82,6,1084
82,6,1085
82,6,1086
82,6,1087
82,6,1088
83,7,1089
83,7,1090
82,6,1091
80,4,1092
79,3,1093
79,3,1094
78,2,1095
79,3,1096
79,3,1097
80,4,1098
80,4,1099
80,4,1100
80,4,1101
80,4,1102
80,4,1103
80,4,1104
80,4,1105
81,5,1106
82,6,1107
82,6,1108
82,6,1109
82,6,1110
81,5,1111
81,5,1112
82,6,1113
81,5,1114
81,5,1115
81,5,1116
81,5,1117
81,5,1118
81,5,1119
81,5,1120
81,5,1121
82,6,1122
82,6,1123
82,6,1124
82,6,1125
83,7,1126
83,7,1127
83,7,1128
83,7,1129
83,7,1130
83,7,1131
82,6,1132
81,5,1133
81,5,1134
81,5,1135
82,6,1136
83,7,1137
83,7,1138
81,5,1139
81,5,1140
80,4,1141
80,4,1142
79,3,1143
79,3,1144
79,3,1145
79,3,1146
79,3,1147
79,3,1148
80,4,1149
81,5,1150
81,5,1151
81,5,1152
81,5,1153
82,6,1154
82,6,1155
82,6,1156
